ID,Card Name,Attribute,Sub Type,Level,ATK,DEF,Card Text,Card Image,Synchro,Tuner,Xyz,Pendulum,Fusion,Ritual,Effect,Extra Deck,
139,Gamma the Magnet Warrior,Earth,Rock,4,1500,1800,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",https://ygoprodeck.com/pics/11549357.jpg,No,No,No,No,No,No,No,No,
140,Garnecia Elefantis,Earth,Beast-Warrior,7,2400,2000,A monster so heavy that each step rocks the earth.,https://ygoprodeck.com/pics/49888191.jpg,No,No,No,No,No,No,No,No,
141,Garoozis,FIRE,Beast-Warrior,5,1800,1500,An axe-swinging beast-warrior with the head of a dragon.,https://ygoprodeck.com/pics/14977074.jpg,No,No,No,No,No,No,No,No,
142,Gatekeeper,Dark,Machine,5,1500,1800,An indestructible mechanoid created for the sole purpose of guarding the gateways.,https://ygoprodeck.com/pics/19737320.jpg,No,No,No,No,No,No,No,No,
143,Gemini Elf,Earth,Spellcaster,4,1900,900,Elf twins that alternate their attacks.,https://ygoprodeck.com/pics/69140098.jpg,No,No,No,No,No,No,No,No,
144,Gem-Knight Crystal,Earth,Rock,7,2450,1950,"A Gem-Knight officer of high rank, who has optimized the use of the crystal powers. Despite his ability to overwhelm most opponents, he's wary of stretching himself too thin, and opts for solidarity with his comrades.",https://ygoprodeck.com/pics/76908448.jpg,No,No,No,No,No,No,No,No,
145,Gem-Knight Garnet,Earth,Pyro,4,1900,0,The Gem-Knight Warrior who carries the Garnet Soul. His Flaming Iron Fist crushes all enemies.,https://ygoprodeck.com/pics/91731841.jpg,No,No,No,No,No,No,No,No,
146,Gem-Knight Lapis,Earth,Rock,3,1200,100,"The best of friends with Lazuli, this soldier deeply cares about the well-being of her friends.",https://ygoprodeck.com/pics/99645428.jpg,No,No,No,No,No,No,No,No,
147,Gem-Knight Sapphire,Earth,Aqua,4,0,2100,His Sapphire powers commands the waters to protect him from attack. His comrades trust in his silent protection.,https://ygoprodeck.com/pics/27126980.jpg,No,No,No,No,No,No,No,No,
148,Gem-Knight Tourmaline,Earth,Thunder,4,1600,1800,He channels mystic energies and changes them into fighting strength through the power of Tourmaline. Many admire his way of life.,https://ygoprodeck.com/pics/54620698.jpg,No,No,No,No,No,No,No,No,
149,Gem-Knight Zirconia,Earth,Rock,8,2900,2500,"1 ""Gem-Knight"" monster + 1 Rock-Type monster",https://ygoprodeck.com/pics/8692301.jpg,No,No,No,No,Yes,No,No,Yes,
150,Gene-Warped Warwolf,Earth,Beast-Warrior,4,2000,100,"This warwolf was given incalculable strength through horrific genetic manipulation. Its gentle nature was completely wiped out, and it now lives only to unleash destruction.",https://ygoprodeck.com/pics/69247929.jpg,No,No,No,No,No,No,No,No,
151,Giant Flea,Earth,Insect,4,1500,1200,A massive flea that feeds on the blood of its enemies.,https://ygoprodeck.com/pics/41762634.jpg,No,No,No,No,No,No,No,No,
152,Giant Red Seasnake,Water,Aqua,4,1800,800,A sea-dwelling snake that attacks passing enemies with its sharp teeth.,https://ygoprodeck.com/pics/58831685.jpg,No,No,No,No,No,No,No,No,
153,Giant Soldier of Stone,Earth,Rock,3,1300,2000,A giant warrior made of stone. A punch from this creature has earth-shaking results.,https://ygoprodeck.com/pics/13039848.jpg,No,No,No,No,No,No,No,No,
154,Giga Gagagigo,Water,Reptile,5,2450,1500,"In order to fight tremendous evil, he gained formidable power through body reconstruction, but lost his heart and his redemption.",https://ygoprodeck.com/pics/43793530.jpg,No,No,No,No,No,No,No,No,
155,Giganto,Dark,Machine,5,1700,1800,A massive steel ball that mows down anything in its path.,https://ygoprodeck.com/pics/33621868.jpg,No,No,No,No,No,No,No,No,
156,Giga-Tech Wolf,Fire,Machine,4,1200,1400,An iron wolf with razor-sharp fangs that can penetrate any armor.,https://ygoprodeck.com/pics/8471389.jpg,No,No,No,No,No,No,No,No,
157,Gigobyte,Water,Reptile,1,350,300,"He has a tranquil soul, but carries a destiny that one day his heart shall be tainted by evil....",https://ygoprodeck.com/pics/53776525.jpg,No,No,No,No,No,No,No,No,
158,Gil Garth,Dark,Fiend,4,1800,1200,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,https://ygoprodeck.com/pics/38445524.jpg,No,No,No,No,No,No,No,No,
159,Giltia the D. Knight,Light,Warrior,5,1850,1500,"Guardian of the Labyrinth + ""Protector of the Throne""",https://ygoprodeck.com/pics/51828629.jpg,No,No,No,No,Yes,No,No,Yes,
160,Girochin Kuwagata,Wind,Insect,4,1700,1000,"Despite its small size, this monster has powerful jaws that can rip metal to shreds.",https://ygoprodeck.com/pics/84620194.jpg,No,No,No,No,No,No,No,No,
161,Gogiga Gagagigo,Water,Reptile,8,2950,2800,"His soul long since collapsed, his body recklessly continues onward, driven by a lust for more power. He no longer resembles his former self....",https://ygoprodeck.com/pics/39674352.jpg,No,No,No,No,No,No,No,No,
162,Gokibore,Earth,Insect,4,1200,1400,"A large, spherical roach that attacks its enemies by rolling over them.",https://ygoprodeck.com/pics/15367030.jpg,No,No,No,No,No,No,No,No,
163,Gradius,Light,Machine,4,1200,800,A high-performance jet fighter with power capsules for variable attack capabilities.,https://ygoprodeck.com/pics/10992251.jpg,No,No,No,No,No,No,No,No,
164,Grand Tiki Elder,Dark,Fiend,4,1500,800,A masked monster that wields the most deadly of curses.,https://ygoprodeck.com/pics/13676474.jpg,No,No,No,No,No,No,No,No,
165,Great Angus,Fire,Beast,4,1800,600,"A very violent beast, it is always berserk. People say that they have never seen it silent.",https://ygoprodeck.com/pics/11813953.jpg,No,No,No,No,No,No,No,No,
166,Great Mammoth of Goldfine,Dark,Zombie,6,2200,1800,"""The Snake Hair"" + ""Dragon Zombie""",https://ygoprodeck.com/pics/54622031.jpg,No,No,No,No,Yes,No,No,Yes,
167,Great White,Water,Fish,4,1600,800,A giant white shark with razor-sharp teeth.,https://ygoprodeck.com/pics/13429800.jpg,No,No,No,No,No,No,No,No,
168,Green Phantom King,Earth,Plant,3,500,1600,"This youthful king of the forest lives in a green world, abundant with trees and wildlife.",https://ygoprodeck.com/pics/22910685.jpg,No,No,No,No,No,No,No,No,
169,Griffore,Earth,Beast,4,1200,1500,This monster's tough hide deflects almost any attack.,https://ygoprodeck.com/pics/53829412.jpg,No,No,No,No,No,No,No,No,
170,Ground Attacker Bugroth,Earth,Machine,4,1500,1000,A surface battle robot that was once used for sea warfare.,https://ygoprodeck.com/pics/58314394.jpg,No,No,No,No,No,No,No,No,
171,Guardian of the Labyrinth,Earth,Warrior,4,1000,1200,A monster that guards the entrance to the Netherworld.,https://ygoprodeck.com/pics/89272878.jpg,No,No,No,No,No,No,No,No,
172,Guardian of the Throne Room,Light,Machine,4,1650,1600,"A robot guard built to guard throne rooms, it is armed with homing missiles.",https://ygoprodeck.com/pics/47879985.jpg,No,No,No,No,No,No,No,No,
173,Gyakutenno Megami,Light,Fairy,6,1800,2000,This fairy uses her mystical power to protect the weak and provide spiritual support.,https://ygoprodeck.com/pics/31122090.jpg,No,No,No,No,No,No,No,No,
174,Haniwa,Earth,Rock,2,500,500,An earthen figure that protects the tomb of an ancient ruler.,https://ygoprodeck.com/pics/84285623.jpg,No,No,No,No,No,No,No,No,
175,Happy Lover,Light,Fairy,2,800,500,Enemies become overjoyed when struck by the Heart Ray emitted from the forehead of this tiny cherub.,https://ygoprodeck.com/pics/99030164.jpg,No,No,No,No,No,No,No,No,
176,Hard Armor,Earth,Warrior,3,300,1200,A living suit of armor that attacks enemies with a bone-jarring tackle.,https://ygoprodeck.com/pics/20060230.jpg,No,No,No,No,No,No,No,No,
177,Harpie Girl,Wind,Winged Beast,2,500,500,"A Harpie chick who aspires to flit about beautifully and gorgeously, but attack sharply.",https://ygoprodeck.com/pics/34100324.jpg,No,No,No,No,No,No,No,No,
178,Harpie Lady,Wind,Winged Beast,4,1300,1400,This human-shaped animal with wings is beautiful to watch but deadly in battle.,https://ygoprodeck.com/pics/76812113.jpg,No,No,No,No,No,No,No,No,
179,Headless Knight,Earth,Fiend,4,1450,1700,A haunted spirit of a falsely accused knight who wanders in search of truth and justice.,https://ygoprodeck.com/pics/5434080.jpg,No,No,No,No,No,No,No,No,
180,Hibikime,Earth,Warrior,4,1450,1000,Confuses enemies with a noise that is harsh to the ears.,https://ygoprodeck.com/pics/64501875.jpg,No,No,No,No,No,No,No,No,
181,Hieratic Seal of the Sun Dragon Overlord,Light,Dragon,8,0,0,"A mysterious engraved Hieratic relic. It was thought to be a simple stone, but it was actually infused with the power of a sun-wielding dragon. Ages passed, and the power of the relic grew and grew until it finally shone like the sun itself.",https://ygoprodeck.com/pics/13140300.jpg,No,No,No,No,No,No,No,No,
182,High Tide Gyojin,Water,Aqua,4,1650,1300,A very agile half-fish warrior known for its relentless attacks.,https://ygoprodeck.com/pics/54579801.jpg,No,No,No,No,No,No,No,No,
183,Hinotama Soul,Fire,Pyro,2,600,500,An intensely hot flame creature that rams anything standing in its way.,https://ygoprodeck.com/pics/96851799.jpg,No,No,No,No,No,No,No,No,
184,Hitotsu-Me Giant,Earth,Beast-Warrior,4,1200,1000,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.",https://ygoprodeck.com/pics/76184692.jpg,No,No,No,No,No,No,No,No,
185,Humanoid Slime,Water,Aqua,4,800,2000,This slime apparently has some human genes in its genetic makeup.,https://ygoprodeck.com/pics/46821314.jpg,No,No,No,No,No,No,No,No,
186,Humanoid Worm Drake,Water,Aqua,7,2200,2000,"""Worm Drake"" + Humanoid Slime""",https://ygoprodeck.com/pics/5600127.jpg,No,No,No,No,Yes,No,No,Yes,
187,Hunter Dragon,Dark,Dragon,3,1700,100,"This dragon has taken down countless prey with its sharp fangs. It strikes very quickly, because if it does not strike first, it is vulnerable to a counter-attack.",https://ygoprodeck.com/pics/96005454.jpg,No,No,No,No,No,No,No,No,
188,Hunter Spider,Earth,Insect,5,1600,1400,This monster feeds on whatever it catches in its web.,https://ygoprodeck.com/pics/80141480.jpg,No,No,No,No,No,No,No,No,
189,Hyosube,Water,Aqua,4,1500,900,"This amphibian is strong on the attack, but leaves much to be desired when defending.",https://ygoprodeck.com/pics/2118022.jpg,No,No,No,No,No,No,No,No,
190,Hyozanryu,Light,Dragon,7,2100,2800,A dragon created from a massive diamond that sparkles with blinding light.,https://ygoprodeck.com/pics/62397231.jpg,No,No,No,No,No,No,No,No,
191,Inpachi,Earth,Machine,4,1600,1900,"A log that attacks lost travelers in the forest. Originally a big tree, it was cut down and possessed by a wicked spirit.",https://ygoprodeck.com/pics/97923414.jpg,No,No,No,No,No,No,No,No,
192,Insect Knight,Earth,Insect,4,1900,1500,"Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess.",https://ygoprodeck.com/pics/35052053.jpg,No,No,No,No,No,No,No,No,
193,Island Turtle,Water,Aqua,4,1100,2000,A huge turtle that is often mistaken for an island.,https://ygoprodeck.com/pics/4042268.jpg,No,No,No,No,No,No,No,No,
194,Jack's Knight,Light,Warrior,5,1900,1000,"A strong master swordsman. His loyalty is to justice, his duty to protect the weak.",https://ygoprodeck.com/pics/90876561.jpg,No,No,No,No,No,No,No,No,
195,Jellyfish,Water,Aqua,4,1200,1500,"An almost invisible, semi-transparent jellyfish that drifts in the sea.",https://ygoprodeck.com/pics/14851496.jpg,No,No,No,No,No,No,No,No,
196,Judge Man,Earth,Warrior,6,2200,1500,This club-wielding warrior battles to the end and will never surrender.,https://ygoprodeck.com/pics/30113682.jpg,No,No,No,No,No,No,No,No,
197,Kabazauls,Water,Dinosaur,4,1700,1500,A  huge monster in the shape of a hippopotamus.  The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,https://ygoprodeck.com/pics/51934376.jpg,No,No,No,No,No,No,No,No,
198,Kagemusha of the Blue Flame,Earth,Warrior,2,800,400,"Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.",https://ygoprodeck.com/pics/15401633.jpg,No,No,No,No,No,No,No,No,
199,Kageningen,Dark,Warrior,2,800,600,He yoozes both a physical form and a shadow form ta attack. So he's a tough monstah ta beat!,https://ygoprodeck.com/pics/80600490.jpg,No,No,No,No,No,No,No,No,
200,Kaminari Attack,Wind,Thunder,5,1900,1400,"Ocubeam + ""Mega Thunderball""",https://ygoprodeck.com/pics/9653271.jpg,No,No,No,No,Yes,No,No,Yes,
201,Kanan the Swordmistress,Earth,Warrior,4,1400,1400,"A lady warrior armed with sword and shield, she floats lightly and stings sharply.",https://ygoprodeck.com/pics/12829151.jpg,No,No,No,No,No,No,No,No,
202,Key Mace,Light,Fairy,1,400,300,Enemies' hearts will melt at the sight of this small fairy's cuteness.,https://ygoprodeck.com/pics/1929294.jpg,No,No,No,No,No,No,No,No,
203,Killer Needle,Wind,Insect,4,1200,1000,A huge bee with exceptional strength that's particularly dangerous in a swarm.,https://ygoprodeck.com/pics/88979991.jpg,No,No,No,No,No,No,No,No,
204,King Fog,Dark,Fiend,3,1000,900,A fiend that dwells in a blinding curtain of smoke.,https://ygoprodeck.com/pics/84686841.jpg,No,No,No,No,No,No,No,No,
205,King of Yamimakai,Dark,Fiend,5,2000,1530,Wields the power of darkness to destroy its enemies.,https://ygoprodeck.com/pics/69455834.jpg,No,No,No,No,No,No,No,No,
206,Kojikocy,Earth,Warrior,4,1500,1200,A man-hunter with powerful arms that can crush boulders,https://ygoprodeck.com/pics/1184620.jpg,No,No,No,No,No,No,No,No,
207,Koumori Dragon,Dark,Dragon,4,1500,1200,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",https://ygoprodeck.com/pics/67724379.jpg,No,No,No,No,No,No,No,No,
208,Kozaky,Dark,Fiend,1,400,400,A workaholic fiend who devotes everything to his research into the languages of Dark World. His mind has collapsed because of working too hard.,https://ygoprodeck.com/pics/99171160.jpg,No,No,No,No,No,No,No,No,
209,Kumootoko,Earth,Insect,3,700,1400,"A massive, intelligent spider that traps enemies with webbing.",https://ygoprodeck.com/pics/56283725.jpg,No,No,No,No,No,No,No,No,
210,Kurama,Wind,Winged Beast,3,800,800,A vicious bird that attacks from the skies with its whip-like tail.,https://ygoprodeck.com/pics/85705804.jpg,No,No,No,No,No,No,No,No,
211,Kuwagata Alpha,Earth,Insect,4,1250,1000,A very vicious stag beetle that goes for the head.,https://ygoprodeck.com/pics/60802233.jpg,No,No,No,No,No,No,No,No,
212,Kwagar Hercules,Earth,Insect,6,1900,1700,"Kuwagata Alpha + ""Hercules Beetle""",https://ygoprodeck.com/pics/95144193.jpg,No,No,No,No,Yes,No,No,Yes,
213,La Jinn the Mystical Genie of the Lamp,Dark,Fiend,4,1800,1000,A genie of the lamp that is at the beck and call of its master.,https://ygoprodeck.com/pics/97590747.jpg,No,No,No,No,No,No,No,No,
214,Labyrinth Wall,Earth,Rock,5,0,3000,These walls form a labyrinth with no exit for enemies.,https://ygoprodeck.com/pics/67284908.jpg,No,No,No,No,No,No,No,No,
215,Larvas,Earth,Beast,3,800,1000,"A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms.",https://ygoprodeck.com/pics/94675535.jpg,No,No,No,No,No,No,No,No,
216,Launcher Spider,Fire,Machine,7,2200,2500,A mechanical spider with rocket launchers capable of random fire.,https://ygoprodeck.com/pics/87322377.jpg,No,No,No,No,No,No,No,No,
217,Left Arm of the Forbidden One,Dark,Spellcaster,1,200,300,A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.,https://ygoprodeck.com/pics/7902349.jpg,No,No,No,No,No,No,No,No,
218,Left Leg of the Forbidden One,Dark,Spellcaster,1,200,300,A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.,https://ygoprodeck.com/pics/44519536.jpg,No,No,No,No,No,No,No,No,
219,Leogun,Earth,Beast,5,1750,1550,Huge monster with a lion's mane similar to the King of Beasts.,https://ygoprodeck.com/pics/10538007.jpg,No,No,No,No,No,No,No,No,
220,Leotron,Earth,Cyberse,4,2000,0,A territorial electronic monster that guards its own domain.,https://ygoprodeck.com/pics/47226949.jpg,No,No,No,No,No,No,No,No,
221,Lesser Dragon,Wind,Dragon,4,1200,1000,A minor dragon incapable of breathing fire.,https://ygoprodeck.com/pics/55444629.jpg,No,No,No,No,No,No,No,No,
222,Lightning Conger,Water,Thunder,3,350,750,This massive eel generates huge charges of electricity and unleashes them as thunderbolts.,https://ygoprodeck.com/pics/27671321.jpg,No,No,No,No,No,No,No,No,
223,Little D,Earth,Dinosaur,3,1100,700,"Yo, this tyrannosaurus tot's got a terrible temper.",https://ygoprodeck.com/pics/42625254.jpg,No,No,No,No,No,No,No,No,
224,Lizard Soldier,Wind,Dragon,3,1100,800,"A beast soldier derived from dragons, it is small for a Dragon-Type. Moving very quickly, this monster is an excellent strategist.",https://ygoprodeck.com/pics/20831168.jpg,No,No,No,No,No,No,No,No,
225,Lord of the Lamp,Dark,Fiend,4,1400,1200,This spirit emerges from the mystic lamp and obeys the wishes of its summoner.,https://ygoprodeck.com/pics/99510761.jpg,No,No,No,No,No,No,No,No,
226,Luster Dragon,Wind,Dragon,4,1900,1600,"A very beautiful dragon covered with sapphire. It does not like fights, but has incredibly high attack power.",https://ygoprodeck.com/pics/11091375.jpg,No,No,No,No,No,No,No,No,
227,Luster Dragon 2,Wind,Dragon,6,2400,1400,"This dragon feeds on emerald. Enchanted by this monster even when attacked, few people live to tell of its beauty.",https://ygoprodeck.com/pics/17658803.jpg,No,No,No,No,No,No,No,No,
228,Mad Lobster,Water,Aqua,3,1700,1000,A gourmet food renowned by the Dark World upper crust. It has sensational flavor.,https://ygoprodeck.com/pics/97240270.jpg,No,No,No,No,No,No,No,No,
229,Magical Ghost,Dark,Zombie,4,1300,1400,This creature casts a spell of terror and confusion just before attacking its enemies.,https://ygoprodeck.com/pics/46474915.jpg,No,No,No,No,No,No,No,No,
230,Maiden of the Moonlight,Light,Spellcaster,4,1500,1300,A sorcerer blessed by lunar light with powers far beyond mortal comprehension.,https://ygoprodeck.com/pics/79629370.jpg,No,No,No,No,No,No,No,No,
231,Mammoth Graveyard,Earth,Dinosaur,3,1200,800,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.,https://ygoprodeck.com/pics/40374923.jpg,No,No,No,No,No,No,No,No,
232,Man-Eating Treasure Chest,Dark,Fiend,4,1600,1000,A monster disguised as a treasure chest that is known to attack the unwary adventurer.,https://ygoprodeck.com/pics/13723605.jpg,No,No,No,No,No,No,No,No,
233,Masaki the Legendary Swordsman,Earth,Warrior,4,1100,1100,Legendary swordmaster Masaki is a veteran of over 100 battles.,https://ygoprodeck.com/pics/44287299.jpg,No,No,No,No,No,No,No,No,
234,Master & Expert,Earth,Beast,4,1200,1000,A deadly duo consisting of a beast master and its loyal servant.,https://ygoprodeck.com/pics/16191953.jpg,No,No,No,No,No,No,No,No,
235,Master Kyonshee,Earth,Zombie,4,1750,1000,A wandering Kyonshee searching for a strong rival to defeat. They say he was known as the master of all martial arts.,https://ygoprodeck.com/pics/24530661.jpg,No,No,No,No,No,No,No,No,
236,Master of OZ,Earth,Beast,9,4200,3700,"Big Koala + ""Des Kangaroo""",https://ygoprodeck.com/pics/27134689.jpg,No,No,No,No,Yes,No,No,Yes,
237,Mavelus,Wind,Winged Beast,4,1300,900,"""Tyhone"" + ""Wings of Wicked Flame""",https://ygoprodeck.com/pics/59036972.jpg,No,No,No,No,Yes,No,No,Yes,
238,Mechanical Snail,Dark,Machine,3,800,1000,A cyborg snail that still travels at a slow place.,https://ygoprodeck.com/pics/34442949.jpg,No,No,No,No,No,No,No,No,
239,Mechanicalchaser,Dark,Machine,4,1850,800,A hunter that relentlessly pursues its target by order of the Machine King.,https://ygoprodeck.com/pics/7359741.jpg,No,No,No,No,No,No,No,No,
240,Mega Thunderball,Wind,Thunder,2,750,600,Rolls along the ground releasing bolts of electricity to attack its enemies.,https://ygoprodeck.com/pics/21817254.jpg,No,No,No,No,No,No,No,No,
241,Megalosmasher X,Water,Dinosaur,4,2000,0,"With its sound-baffling armor and gargantuan jaws, this primeval predator's phosphorescence was the only possible pardon for its primitive prey.",https://ygoprodeck.com/pics/81823360.jpg,No,No,No,No,No,No,No,No,
242,Megasonic Eye,Dark,Machine,5,1500,1800,"Made of mysterious metal, this monster is a doomsday machine from the edge of the universe.",https://ygoprodeck.com/pics/7562372.jpg,No,No,No,No,No,No,No,No,
243,Megazowler,Earth,Dinosaur,6,1800,2000,Nothing stands in the way of this spike-covered dinosaur!,https://ygoprodeck.com/pics/75390004.jpg,No,No,No,No,No,No,No,No,
244,Mekk-Knight Avram,Light,Psychic,4,2000,0,"""Check THIS out!""",https://ygoprodeck.com/pics/84754430.jpg,No,No,No,No,No,No,No,No,
245,Meotoko,Earth,Beast,2,700,600,Dis big ol' guy wit' a big ol' eye shoots a nasty ray beam right atcha!,https://ygoprodeck.com/pics/53832650.jpg,No,No,No,No,No,No,No,No,
246,Metal Armored Bug,Earth,Insect,8,2800,1500,A gigantic insect-like creature covered by thick armor. Everything in his path is destroyed.,https://ygoprodeck.com/pics/65957473.jpg,No,No,No,No,No,No,No,No,
247,Metal Dragon,Wind,Machine,6,1850,1700,"Steel Ogre Grotto #1 + ""Lesser Dragon""",https://ygoprodeck.com/pics/9293977.jpg,No,No,No,No,Yes,No,No,Yes,
248,Metal Fish,Water,Machine,5,1600,1900,A metal fish with a razor-sharp caudal fin.,https://ygoprodeck.com/pics/55998462.jpg,No,No,No,No,No,No,No,No,
249,Metal Guardian,Dark,Fiend,5,1150,2150,"A fiend guarding the treasures of the netherworld, it's most at home in the dark.",https://ygoprodeck.com/pics/68339286.jpg,No,No,No,No,No,No,No,No,
250,Metaphys Armed Dragon,Light,Wyrm,7,2800,1000,Usually visible despite its phantom existance.,https://ygoprodeck.com/pics/89189982.jpg,No,No,No,No,No,No,No,No,
251,Meteor B. Dragon,Fire,Dragon,8,3500,2000,"Red-Eyes B. Dragon + ""Meteor Dragon""",https://ygoprodeck.com/pics/90660762.jpg,No,No,No,No,Yes,No,No,Yes,
252,Meteor Dragon,Earth,Dragon,6,1800,2000,This dragon appeared from the sky and crashed to the earth.,https://ygoprodeck.com/pics/64271667.jpg,No,No,No,No,No,No,No,No,
253,Mighty Guard,Earth,Machine,4,500,1200,A machine soldier that was developed as a guard. It is made of rust-proof metal.,https://ygoprodeck.com/pics/62327910.jpg,No,No,No,No,No,No,No,No,
254,Mikazukinoyaiba,Dark,Dragon,7,2200,2350,A dragon warrior of the moon armed with a crescent sword.,https://ygoprodeck.com/pics/38277918.jpg,No,No,No,No,No,No,No,No,
255,Millennium Golem,Earth,Rock,6,2000,2200,"For nearly a millennium, this golem has served as guardian of an ancient treasure trove.",https://ygoprodeck.com/pics/47986555.jpg,No,No,No,No,No,No,No,No,
256,Millennium Shield,Earth,Warrior,5,0,3000,"A Millennium item, it's rumored to block any strong attack.",https://ygoprodeck.com/pics/32012841.jpg,No,No,No,No,No,No,No,No,
257,Misairuzame,Water,Fish,5,1400,1600,A missile-launching fish protected by deadly spikes.,https://ygoprodeck.com/pics/33178416.jpg,No,No,No,No,No,No,No,No,
258,Mokey Mokey,Light,Fairy,1,300,100,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,https://ygoprodeck.com/pics/27288416.jpg,No,No,No,No,No,No,No,No,
259,Monster Egg,Earth,Warrior,3,600,900,A warrior hidden within an egg that attacks enemies by flinging eggshells.,https://ygoprodeck.com/pics/36121917.jpg,No,No,No,No,No,No,No,No,
260,Monster Tamer,Earth,Warrior,5,1800,1600,A master of monsters that exercises control over several creatures.,https://ygoprodeck.com/pics/97612389.jpg,No,No,No,No,No,No,No,No,
261,Moon Envoy,Light,Warrior,4,1100,1000,Many have fallen victim to this lunar warrior's crescent pike.,https://ygoprodeck.com/pics/45909477.jpg,No,No,No,No,No,No,No,No,
262,Morinphen,Dark,Fiend,5,1550,1300,A strange fiend with long arms and razor sharp talons.,https://ygoprodeck.com/pics/55784832.jpg,No,No,No,No,No,No,No,No,
263,Mr. Volcano,Fire,Pyro,5,2100,1300,This seemingly mild-mannered creature has an extremely volatile temper.,https://ygoprodeck.com/pics/31477025.jpg,No,No,No,No,No,No,No,No,
264,Mushroom Man,Earth,Plant,2,800,600,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores.",https://ygoprodeck.com/pics/14181608.jpg,No,No,No,No,No,No,No,No,
265,Musician King,Light,Spellcaster,5,1750,1500,"Witch of the Black Forest + ""Lady of Faith""",https://ygoprodeck.com/pics/56907389.jpg,No,No,No,No,Yes,No,No,Yes,
266,M-Warrior 1,Earth,Warrior,3,1000,500,"Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape.",https://ygoprodeck.com/pics/56342351.jpg,No,No,No,No,No,No,No,No,
267,M-Warrior 2,Earth,Warrior,3,500,1000,"Specializing in combination attacks, this warrior is equipped with a tough, magnetically coated armor.",https://ygoprodeck.com/pics/92731455.jpg,No,No,No,No,No,No,No,No,
268,Mystery Shell Dragon,Dark,Wyrm,4,2000,0,"Mysterious living matter that suddenly appeared from a different dimension. Its attack paralyzes the target's nerves, and causes intense hallucinations.",https://ygoprodeck.com/pics/18108166.jpg,No,No,No,No,No,No,No,No,
269,Mystic Clown,Dark,Fiend,4,1500,1000,Nothing can stop the mad attack of this powerful creature.,https://ygoprodeck.com/pics/47060154.jpg,No,No,No,No,No,No,No,No,
270,Mystic Horseman,Earth,Beast,4,1300,1550,"Half man and half horse, this monster is known for its extreme speed.",https://ygoprodeck.com/pics/68516705.jpg,No,No,No,No,No,No,No,No,
271,Mystical Elf,Light,Spellcaster,4,800,2000,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",https://ygoprodeck.com/pics/15025844.jpg,No,No,No,No,No,No,No,No,
272,Mystical Sand,Earth,Rock,6,2100,1700,"Giant Soldier of Stone + ""Ancient Elf""",https://ygoprodeck.com/pics/32751480.jpg,No,No,No,No,Yes,No,No,Yes,
273,Mystical Sheep 2,Earth,Beast,3,800,1000,A monstrous sheep with a long tail for hypnotizing enemies.,https://ygoprodeck.com/pics/83464209.jpg,No,No,No,No,No,No,No,No,
274,Necrolancer the Timelord,Dark,Spellcaster,3,800,900,The one-eyed Necrolancer launches his onslaught from a dimensional ring that can appear out of thin air.,https://ygoprodeck.com/pics/61454890.jpg,No,No,No,No,No,No,No,No,
275,Nekogal 1,Earth,Beast,3,1100,900,"A pussy-fairy.  Contrary to her lovely beauty, she claws on her enemies.",https://ygoprodeck.com/pics/1761063.jpg,No,No,No,No,No,No,No,No,
276,Nekogal 2,Earth,Beast-Warrior,6,1900,2000,A fast and lethal creature with very dangerous claws.,https://ygoprodeck.com/pics/43352213.jpg,No,No,No,No,No,No,No,No,
277,Nemuriko,Dark,Spellcaster,3,800,700,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.,https://ygoprodeck.com/pics/90963488.jpg,No,No,No,No,No,No,No,No,
278,Neo Aqua Madoor,Water,Spellcaster,6,1200,3000,"The true nature of this wizard, who rules all water. It defends itself with a vast, impenetrable wall of ice.",https://ygoprodeck.com/pics/49563947.jpg,No,No,No,No,No,No,No,No,
279,Neo Bug,Earth,Insect,4,1800,1700,A huge bug-like monster said to come from another planet. It gathers in swarms.,https://ygoprodeck.com/pics/16587243.jpg,No,No,No,No,No,No,No,No,
280,Neo the Magic Swordsman,Light,Spellcaster,4,1700,1000,"A dimensional drifter who not only practices sorcery, but is also a sword and martial arts master.",https://ygoprodeck.com/pics/50930991.jpg,No,No,No,No,No,No,No,No,
281,Nin-Ken Dog,Wind,Beast-Warrior,4,1800,1000,"A Ninja dog who has mastered extreme Ninjutsu. Through hard training, it learned the technique to metamorphose into a human being.",https://ygoprodeck.com/pics/11987744.jpg,No,No,No,No,No,No,No,No,
